Class,Precision,Recall,F1 Score,Support
Short,0.9430379746835443,0.9490445859872612,0.946031746031746,157
Medium,0.9427710843373494,0.963076923076923,0.9528158295281582,325
Tall,0.9798657718120806,0.9299363057324841,0.954248366013072,157
