Class,Precision,Recall,F1 Score,Support
Short,0.974025974025974,0.9554140127388535,0.9646302250803859,157
Medium,0.9722222222222222,0.9692307692307692,0.9707241910631741,325
Tall,0.9627329192546584,0.9872611464968153,0.9748427672955975,157
